,fema_declaration_string,disaster_number,state,declaration_type,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,Begin_Date,End_Date,Disaster_Period_Days,designated_area,id
0,DR-1-GA,1,GA,Major Disaster,1953,Tornado,Tornado,NO,YES,YES,YES,1953-05-02T04:00:00Z,1953-05-02T04:00:00Z,5/2/53,5/2/53,0,Statewide,5f453123d07c217eca1a15d2
1,DR-2-TX,2,TX,Major Disaster,1953,Tornado,Tornado & Heavy Rainfall,NO,YES,YES,YES,1953-05-15T04:00:00Z,1953-05-15T04:00:00Z,5/15/53,5/15/53,0,Statewide,5f453123d07c217eca1a15e3
2,DR-3-LA,3,LA,Major Disaster,1953,Flood,Flood,NO,YES,YES,YES,1953-05-29T04:00:00Z,1953-05-29T04:00:00Z,5/29/53,5/29/53,0,Statewide,5f453123d07c217eca1a15de
3,DR-4-MI,4,MI,Major Disaster,1953,Tornado,Tornado,NO,YES,YES,YES,1953-06-02T04:00:00Z,1953-06-02T04:00:00Z,6/2/53,6/2/53,0,Statewide,5f453123d07c217eca1a15ea
4,DR-5-MT,5,MT,Major Disaster,1953,Flood,Floods,NO,YES,YES,YES,1953-06-06T04:00:00Z,1953-06-06T04:00:00Z,6/6/53,6/6/53,0,Statewide,5f453123d07c217eca1a15df
5,DR-6-MI,6,MI,Major Disaster,1953,Tornado,Tornado,NO,YES,YES,YES,1953-06-09T04:00:00Z,1953-06-09T04:00:00Z,6/9/53,6/9/53,0,Statewide,5f453123d07c217eca1a15dd
6,DR-8-IA,8,IA,Major Disaster,1953,Flood,Flood,NO,YES,YES,YES,1953-06-11T04:00:00Z,1953-06-11T04:00:00Z,6/11/53,6/11/53,0,Statewide,5f453123d07c217eca1a15e0
7,DR-7-MA,7,MA,Major Disaster,1953,Tornado,Tornado,NO,YES,YES,YES,1953-06-11T04:00:00Z,1953-06-11T04:00:00Z,6/11/53,6/11/53,0,Statewide,5f453123d07c217eca1a15e2
8,DR-9-TX,9,TX,Major Disaster,1953,Flood,Flood,NO,YES,YES,YES,1953-06-19T04:00:00Z,1953-06-19T04:00:00Z,6/19/53,6/19/53,0,Statewide,5f453123d07c217eca1a15e4
9,DR-11-NH,11,NH,Major Disaster,1953,Fire,Forest Fire,NO,YES,YES,YES,1953-07-02T04:00:00Z,1953-07-02T04:00:00Z,7/2/53,7/2/53,0,Statewide,5f453123d07c217eca1a15e5
10,DR-12-FL,12,FL,Major Disaster,1954,Flood,Flood,NO,YES,YES,YES,1953-10-22T05:00:00Z,1953-10-22T05:00:00Z,10/22/53,10/22/53,0,Statewide,5f453123d07c217eca1a15e7
11,DR-13-AK,13,AK,Major Disaster,1954,Other,Severe Hardship,NO,YES,YES,YES,1953-10-30T05:00:00Z,1953-10-30T05:00:00Z,10/30/53,10/30/53,0,Statewide,5f453123d07c217eca1a15e8
12,DR-14-MS,14,MS,Major Disaster,1954,Tornado,Tornado,NO,YES,YES,YES,1953-12-06T05:00:00Z,1953-12-06T05:00:00Z,12/6/53,12/6/53,0,Statewide,5f453123d07c217eca1a15d4
13,DR-15-CA,15,CA,Major Disaster,1954,Flood,Flood & Erosion,NO,YES,YES,YES,1954-02-05T05:00:00Z,1954-02-05T05:00:00Z,2/5/54,2/5/54,0,Statewide,5f453123d07c217eca1a15e9
14,DR-16-GA,16,GA,Major Disaster,1954,Tornado,Tornado,NO,YES,YES,YES,1954-03-17T05:00:00Z,1954-03-17T05:00:00Z,3/17/54,3/17/54,0,Statewide,5f453123d07c217eca1a15eb
15,DR-17-IA,17,IA,Major Disaster,1954,Flood,Flood,NO,YES,YES,YES,1954-06-23T04:00:00Z,1954-06-23T04:00:00Z,6/23/54,6/23/54,0,Statewide,5f453123d07c217eca1a15d3
16,DR-18-TX,18,TX,Major Disaster,1954,Flood,Flood,NO,YES,YES,YES,1954-07-01T04:00:00Z,1954-07-01T04:00:00Z,7/1/54,7/1/54,0,Statewide,5f453123d07c217eca1a15d5
17,DR-19-NV,19,NV,Major Disaster,1954,Earthquake,Earthquake,NO,YES,YES,YES,1954-07-14T04:00:00Z,1954-07-14T04:00:00Z,7/14/54,7/14/54,0,Statewide,5f453123d07c217eca1a15d6
18,DR-20-SD,20,SD,Major Disaster,1954,Flood,Flood,NO,YES,YES,YES,1954-07-31T04:00:00Z,1954-07-31T04:00:00Z,7/31/54,7/31/54,0,Statewide,5f453123d07c217eca1a15ee
19,DR-21-WV,21,WV,Major Disaster,1954,Flood,Flood,NO,YES,YES,YES,1954-08-04T04:00:00Z,1954-08-04T04:00:00Z,8/4/54,8/4/54,0,Statewide,5f453123d07c217eca1a15ef
20,DR-22-MA,22,MA,Major Disaster,1954,Hurricane,Hurricanes,NO,YES,YES,YES,1954-09-02T04:00:00Z,1954-09-02T04:00:00Z,9/2/54,9/2/54,0,Statewide,5f453123d07c217eca1a15f1
21,DR-23-RI,23,RI,Major Disaster,1954,Hurricane,Hurricanes,NO,YES,YES,YES,1954-09-02T04:00:00Z,1954-09-02T04:00:00Z,9/2/54,9/2/54,0,Statewide,5f453123d07c217eca1a15f2
22,DR-24-ME,24,ME,Major Disaster,1954,Hurricane,Hurricanes,NO,YES,YES,YES,1954-09-13T04:00:00Z,1954-09-13T04:00:00Z,9/13/54,9/13/54,0,Statewide,5f453123d07c217eca1a15f4
23,DR-25-CT,25,CT,Major Disaster,1954,Hurricane,Hurricanes,NO,YES,YES,YES,1954-09-17T04:00:00Z,1954-09-17T04:00:00Z,9/17/54,9/17/54,0,Statewide,5f453123d07c217eca1a15d7
24,DR-26-NY,26,NY,Major Disaster,1955,Hurricane,Hurricanes,NO,YES,YES,YES,1954-10-07T05:00:00Z,1954-10-07T05:00:00Z,10/7/54,10/7/54,0,Statewide,5f453123d07c217eca1a15d8
25,DR-27-NM,27,NM,Major Disaster,1955,Flood,Flood,NO,YES,YES,YES,1954-10-13T05:00:00Z,1954-10-13T05:00:00Z,10/13/54,10/13/54,0,Statewide,5f453123d07c217eca1a15d9
26,DR-29-SC,29,SC,Major Disaster,1955,Hurricane,Hurricane,NO,YES,YES,YES,1954-10-17T05:00:00Z,1954-10-17T05:00:00Z,10/17/54,10/17/54,0,Statewide,5f453123d07c217eca1a15da
27,DR-28-NC,28,NC,Major Disaster,1955,Hurricane,Hurricane,NO,YES,YES,YES,1954-10-17T05:00:00Z,1954-10-17T05:00:00Z,10/17/54,10/17/54,0,Statewide,5f453123d07c217eca1a15f7
28,DR-30-IN,30,IN,Major Disaster,1955,Flood,Flood,NO,YES,YES,YES,1954-10-26T05:00:00Z,1954-10-26T05:00:00Z,10/26/54,10/26/54,0,Statewide,5f453123d07c217eca1a15db
29,DR-31-AK,31,AK,Major Disaster,1955,Other,Severe Hardship,NO,YES,YES,YES,1954-11-10T05:00:00Z,1954-11-10T05:00:00Z,11/10/54,11/10/54,0,Statewide,5f453123d07c217eca1a15fb
30,DR-32-HI,32,HI,Major Disaster,1955,Volcano,Volcano,NO,YES,YES,YES,1955-04-01T05:00:00Z,1955-04-01T05:00:00Z,4/1/55,4/1/55,0,Statewide,5f453123d07c217eca1a15fc
31,DR-33-CO,33,CO,Major Disaster,1955,Flood,Flood,NO,YES,YES,YES,1955-05-25T04:00:00Z,1955-05-25T04:00:00Z,5/25/55,5/25/55,0,Statewide,5f453123d07c217eca1a15dc
32,DR-34-KS,34,KS,Major Disaster,1955,Tornado,Tornado,NO,YES,YES,YES,1955-05-27T04:00:00Z,1955-05-27T04:00:00Z,5/27/55,5/27/55,0,Statewide,5f453123d07c217eca1a15fd
33,DR-35-OK,35,OK,Major Disaster,1955,Flood,Flood & Tornado,NO,YES,YES,YES,1955-06-01T04:00:00Z,1955-06-01T04:00:00Z,6/1/55,6/1/55,0,Statewide,5f453123d07c217eca1a15e1
34,DR-36-NV,36,NV,Major Disaster,1955,Flood,Flood,NO,YES,YES,YES,1955-06-21T04:00:00Z,1955-06-21T04:00:00Z,6/21/55,6/21/55,0,Statewide,5f453123d07c217eca1a15fe
35,DR-37-NC,37,NC,Major Disaster,1955,Hurricane,Hurricanes,NO,YES,YES,YES,1955-08-13T04:00:00Z,1955-08-13T04:00:00Z,8/13/55,8/13/55,0,Statewide,5f453123d07c217eca1a15e6
36,DR-38-NM,38,NM,Major Disaster,1955,Flood,Flood,NO,YES,YES,YES,1955-08-15T04:00:00Z,1955-08-15T04:00:00Z,8/15/55,8/15/55,0,Statewide,5f453123d07c217eca1a15ff
37,DR-39-RI,39,RI,Major Disaster,1955,Hurricane,Hurricane & Flood,NO,YES,YES,YES,1955-08-20T04:00:00Z,1955-08-20T04:00:00Z,8/20/55,8/20/55,0,Statewide,5f453123d07c217eca1a15ec
38,DR-40-PA,40,PA,Major Disaster,1955,Flood,Floods & Rains,NO,YES,YES,YES,1955-08-20T04:00:00Z,1955-08-20T04:00:00Z,8/20/55,8/20/55,0,Statewide,5f453123d07c217eca1a15ed
39,DR-42-CT,42,CT,Major Disaster,1955,Hurricane,"Hurricane, Torrential Rain & Floods",NO,YES,YES,YES,1955-08-20T04:00:00Z,1955-08-20T04:00:00Z,8/20/55,8/20/55,0,Statewide,5f453123d07c217eca1a15f0
40,DR-43-MA,43,MA,Major Disaster,1955,Hurricane,Hurricane & Floods,NO,YES,YES,YES,1955-08-20T04:00:00Z,1955-08-20T04:00:00Z,8/20/55,8/20/55,0,Statewide,5f453123d07c217eca1a15f3
